City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
332,washington,47.5001,-120.5015,15.32,49,100,2.61,US,1697591240
333,mogocha,53.7333,119.7667,1.53,72,100,2.24,RU,1697591443
334,tralee,52.2704,-9.7026,12.72,93,100,7.71,IE,1697591444
335,an nuhud,12.7,28.4333,26.31,19,84,6.63,SD,1697591316
336,seminole,28.7086,-81.2081,18.44,75,0,2.06,US,1697591444
337,upington,-28.4478,21.2561,19.36,35,0,3.61,ZA,1697591445
338,filadelfia,39.9523,-75.1638,13.64,86,100,1.54,US,1697591279
339,alice springs,-23.7,133.8833,24.75,13,0,4.63,AU,1697591445
340,kzyltu,53.6364,72.3414,9.3,73,8,3.57,KZ,1697591445
341,la ronge,55.1001,-105.2842,8.9,76,99,2.71,CA,1697591445
342,sao vicente,-23.9631,-46.3919,25.15,54,100,3.58,BR,1697591446
343,kodiak,57.79,-152.4072,8.73,87,100,4.63,US,1697591446
344,happy valley-goose bay,53.3168,-60.3315,5.17,75,75,2.57,CA,1697591446
345,tonghae,37.5439,129.1069,18.79,39,100,2.17,KR,1697591446
346,swift current,50.2834,-107.8014,9.45,81,100,8.23,CA,1697591162
347,pisco,-13.7,-76.2167,19.03,88,0,6.17,PE,1697591447
348,shevchenkove,49.6959,37.1735,1.92,70,0,3.58,UA,1697591447
349,berezovskiy,55.6,86.2,7.82,86,100,3.15,RU,1697591447
350,masuguru,-11.3667,38.4167,23.64,77,98,2.39,TZ,1697591448
351,raduzhny,62.0961,77.475,6.37,95,28,4.13,RU,1697591448
352,cuito,-12.3833,16.9333,16.15,79,76,2.54,AO,1697591448
353,steinbach,50.1667,8.5667,6.73,83,0,4.12,DE,1697591448
354,zilair,52.2332,57.4392,4.55,73,100,3.42,RU,1697591448
355,mount isa,-20.7333,139.5,32.87,11,0,6.69,AU,1697591449
356,orchard homes,46.8633,-114.0484,12.4,44,0,3.6,US,1697591449
357,el porvenir,13.7617,-87.3458,22.63,79,84,3.04,HN,1697591449
358,molde,62.7375,7.1591,4.91,100,100,3.09,NO,1697591450
359,dakhla,23.6848,-15.958,21.94,84,21,5.06,EH,1697591450
360,port-gentil,-0.7193,8.7815,25.62,84,100,4.17,GA,1697591450
361,karratha,-20.7377,116.8463,33.2,16,0,2.33,AU,1697591227
362,dondo,-19.6094,34.7431,21.78,94,100,2.34,MZ,1697591450
